1,2,3,4,5,6,7
4134.675,3276.92,1348.256,273.141,63.572,20.485,8.63999999999999
7617.536,2606.172,850.368,256.885,46.17,14.352,2.64
2170.584,8032.432,801.958,242.316,75.98,29.59,9.92
1917.354,2210.64,1054.856,272.32,52.632,10.944,1.664
947.853,962.694,800.73,341.586,65.175,16.206,4.59
1243.286,1437.232,715.198,256.381,114.026,14.1,6.6
3152.61,2674.594,719.628,173.148,29.304,5.221,0.650000000000001
9529.868,3047.22,1083.831,167.68,32.382,9.711,1.008
1722.276,4832.576,771.936,325.068,87.15,5.09,0.726000000000001
2522.47,2844.288,1877.472,136.575,44.52,5.66,0.702000000000001
2704.8,7272.941,1209.915,449.904,38.94,8.31599999999999,0.928
22967.76,4035.732,934.728000000001,358.228,77.2560000000001,6.72600000000001,2.132
16069.71,836.62,1295.805,291.006,49.848,8.65800000000001,0.936000000000001
17623.76,4222.995,807.125,497.68,55.38,6.94400000000001,2.106
2942.017,10584.33,1227.221,307.51,100.244,9.14400000000001,2.068
3252,5637.195,3537.702,404.144,78.898,12.9,2.058
2428.122,5853.27,1076.103,555.072,77.112,18.425,3.528
2291.476,3435.96,1199.836,230.336,128.222,21.534,0.684000000000001
1307.895,9381.648,1238.615,293.664,37.113,5.88000000000001,0.792000000000001
2997.698,2091.927,3473.676,235.222,39.037,6.06300000000001,0.935000000000001
1075.248,10316.45,593.541,516.901,19.65,3.162,0.756000000000001
1237.348,3271.05,2289.73,121.176,57.96,2.87,0.432
421.44,3894.04,997.269,504.12,26.314,9.78600000000001,0.748000000000001
110.957,1145.151,1233.214,364.653,112.585,7.92000000000001,1.152
578.354,2243.904,803.992,325.008,52.716,31.382,7.11
523.44,3019.223,961.875,548.448,128.671,25.575,9.165
405.552,1012.384,1425.897,285.936,27.144,7.304,4.5
649.133,1470.87,973.53,916.028,58.681,13.14,0.308
1420.265,2131.349,1486.656,664.551,155.75,6.99600000000001,2.31
1043.77,3670.24,1172.25,448.872,64.757,23.688,6.851
404.477,2481.675,2184.84,245.69,74.347,16.2,6.664
199.4,1504.16,1109.454,531.619,102.789,13.464,2.738
875.053,423.81,644.14,156.954,50.031,5.782,2.048
73.482,2062.12,117.9,150.552,30.624,6.612,1.032
321.768,79.596,3671.64,34.953,49.278,6.068,2.432
323.628,300.696,44.08,903.572,18.297,4.807,0.87
