Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,30,30,30,30,30,30,30,30,30,30,30,30
Czechia,19,17,16,15,15,13,12,13,12,12,15,11
Denmark,13,15,23,13,15,14,13,16,12,14,5,8.583
Estonia,15,14,16,16,16,14,15,16,18,21,38.345,46.44
Finland,9,9,3,3,11,11,1,1,2,2,2,2
France,280,190,81,38,46,39,32,34,30,30,30,20
Germany,224,225,214,262,156,159,141,143,128,131.1,129.7,126.6
Greece,3,3,3,3,3,3,3,3,3,3,3,3
Hungary,235,26,17,67,155,10,3,6,116,10,3.933,3.662
Ireland,0,0,0,0,0,0,0,0,0,,,
Italy,44,40,40,40,40,40,40,40,40,40,40,40
Latvia,7,5,4,4,4,5,4,8,65,6,6,5.97
Lithuania,19,11,8,14,8,6,10,12,10,4.608,6.84,10.08
Netherlands,301,369,340,316,324,320,331,422,487,490,480,533
Poland,115,88,88,92,85,69,80,89,69,56,54,131.1
Slovak Republic,3,3,3,2,3,3,3,3,3,3,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,,,
Sweden,108,85,100,93,110,87,93,102,102,102,89,103
Switzerland,4,3,3,3,2,3,2,2,2,1.314,1.509,1.509
Türkiye,182,28,38,48,56,71,75,81,111,330,320,309
United Kingdom,461,459,418,426,399,353,354,330,339,330,323.741,220
  Indonesia,,,,,,,,,,,,0.485
  Romania,0,0,0,0,0,0,0,0,0,,,
  Russia,0,0,0,1,0,0,0,0,0,0,0,
