Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,0,0,0,0,0,0,0,0,1,1,1
Denmark,411,355,305,317,317,249,255,243,172,176,178
Estonia,3,2,2,2,1,1,1,1,0,1,2
Finland,,2,2,1,1,1,1,1,1,,
France,271,423,475,497,474,481,514,442,615,445,185
Germany,74,53,42,45,47,1,39,52,54,51,65
Greece,4,9,9,5,18,20,47,21,1,2,2
Iceland,,,0,0,0,0,0,0,0,,
Italy,,,,9,33,36,89,98,,1,7
Latvia,1,1,1,2,0,0,0,0,0,0,0
Lithuania,,,,,,,,0,0,0,0
Netherlands,6,3,4,5,3,4,9,10,4,4,3
Norway,32,0,0,0,0,0,4,11,3,4,5
Poland,53,32,31,49,39,42,59,81,73,3,3
Spain,65,62,65,98,65,47,55,50,1,,0
Sweden,416,355,237,268,209,158,183,141,142,85,86
United Kingdom,0,1,1,2,1,2,2,3,2,3,1
